Bug ID,Bug Title,Steps,Module,Module Wise,Expected Results,Actual Results,Acceptance Criteria
BUG-0925,Funds transfer not updating balance #924,Step 1: Login to net banking -> Step 2: Go to Funds Transfer > NEFT/RTGS -> Step 3: Choose registered beneficiary -> Step 4: Enter amount exceeding daily limit -> Step 5: Click Submit -> Step 6: Verify daily limit exceeded error is displayed,Funds Transfer,Funds Transfer Wise,Funds should be debited from source account and credited to beneficiary account with correct amounts reflected in both balances,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0926,Duplicate transaction in statement #925,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,Account linking should be completed after OTP verification and the linked account should appear in the dashboard immediately,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0927,Duplicate transaction in statement #926,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,Cash deposit at ATM should be counted accurately and credited to the account with a printed deposit receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0928,Duplicate transaction in statement #927,Step 1: Login to the banking portal -> Step 2: Navigate to Account Management section -> Step 3: Click Open New Account -> Step 4: Select account type (Savings/Current/Fixed Deposit) -> Step 5: Fill in personal details and nominee information -> Step 6: Upload KYC documents -> Step 7: Review and submit application -> Step 8: Verify account opening request confirmation,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0929,Duplicate transaction in statement #928,Step 1: Login to net banking -> Step 2: Go to Bill Payments > Scheduled Payments -> Step 3: Click Add New Schedule -> Step 4: Select biller and enter details -> Step 5: Set payment frequency (Monthly/Quarterly) -> Step 6: Set start date and end date -> Step 7: Confirm auto-pay setup -> Step 8: Verify scheduled payment appears in list,Bill Payments,Bill Payments Wise,Bill payment should fail gracefully with a clear error message if the account has insufficient funds,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0930,Interest calculation incorrect for savings #929,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,"Transaction filters (credit/debit/all, date range) should return accurate results matching the selected criteria",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0931,Login fails with valid credentials #930,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,Credit card reward points should be calculated correctly based on transaction amount and card reward program rules,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0932,Funds transfer not updating balance #931,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,Notification read/unread status should be updated correctly when user interacts with the notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0933,Login fails with valid credentials #932,Step 1: Insert card into ATM -> Step 2: Enter PIN -> Step 3: Select PIN Change option -> Step 4: Enter current PIN -> Step 5: Enter new PIN and confirm -> Step 6: Verify PIN change success message -> Step 7: Eject card and test new PIN with balance inquiry,ATM Services,ATM Services Wise,"ATM should dispense the exact requested amount and print a receipt showing transaction details, remaining balance, and date/time",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0934,ATM withdrawal receipt missing #933,Step 1: Login to banking portal -> Step 2: Navigate to Statements -> Step 3: Select account -> Step 4: Apply filter by transaction type (Credit/Debit/All) -> Step 5: Set date range -> Step 6: Click Search -> Step 7: Verify filtered results match criteria -> Step 8: Check pagination for large datasets,Statements,Statements Wise,"Account statement should list all transactions within the selected date range with correct date, description, debit, credit, and running balance",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0935,Duplicate transaction in statement #934,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,Password reset link should be sent to the registered email/phone and new password should be accepted after verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0936,ATM withdrawal receipt missing #935,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0937,Login fails with valid credentials #936,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,ATM PIN change should be processed successfully and the new PIN should work immediately for subsequent transactions,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0938,Interest calculation incorrect for savings #937,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,Credit card reward points should be calculated correctly based on transaction amount and card reward program rules,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0939,Login fails with valid credentials #938,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,Notification read/unread status should be updated correctly when user interacts with the notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0940,Interest calculation incorrect for savings #939,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,"Credit card statement should display all transactions for the current billing cycle with correct amounts, dates, and merchant details",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0941,Duplicate transaction in statement #940,Step 1: Insert card into ATM -> Step 2: Enter PIN -> Step 3: Select Balance Inquiry -> Step 4: Choose account type -> Step 5: Verify available balance displayed on screen -> Step 6: Opt to print mini statement -> Step 7: Collect printed statement,ATM Services,ATM Services Wise,ATM should display an appropriate error message and return the card if an incorrect PIN is entered 3 times consecutively,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0942,Funds transfer not updating balance #941,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0943,Interest calculation incorrect for savings #942,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0944,ATM withdrawal receipt missing #943,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,MFA/OTP should be delivered within 30 seconds and should be valid for the configured expiry duration,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0945,Interest calculation incorrect for savings #944,Step 1: Open mobile banking app -> Step 2: Login -> Step 3: Go to Settings > Profile -> Step 4: Tap Update Email/Phone -> Step 5: Enter new contact details -> Step 6: Verify OTP on old and new number/email -> Step 7: Confirm update success message,Mobile Banking,Mobile Banking Wise,Mobile banking registration should complete successfully with OTP verification and user should be able to log in with new credentials,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0946,Duplicate transaction in statement #945,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0947,Login fails with valid credentials #946,Step 1: Login to net banking -> Step 2: Go to Funds Transfer > NEFT/RTGS -> Step 3: Choose registered beneficiary -> Step 4: Enter amount exceeding daily limit -> Step 5: Click Submit -> Step 6: Verify daily limit exceeded error is displayed,Funds Transfer,Funds Transfer Wise,Transaction reference number should be generated and displayed upon successful transfer along with SMS/email confirmation,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0948,ATM withdrawal receipt missing #947,Step 1: Login to net banking -> Step 2: Go to Loans > My Loans -> Step 3: Select active loan account -> Step 4: Click View EMI Schedule -> Step 5: Verify EMI breakdown with principal and interest components -> Step 6: Check prepayment/foreclosure options are available,Loans,Loans Wise,Loan prepayment/foreclosure option should be available with correct penalty calculation and updated outstanding balance,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0949,Interest calculation incorrect for savings #948,Step 1: Navigate to Forgot Password page -> Step 2: Enter registered email/phone -> Step 3: Click Send Reset Link -> Step 4: Open reset link from email -> Step 5: Enter new password and confirm -> Step 6: Verify password reset success message,Authentication,Authentication Wise,Invalid login attempts should be blocked after the maximum retry limit and account should be temporarily locked,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0950,Duplicate transaction in statement #949,Step 1: Login to net banking -> Step 2: Go to Statements > E-Statement -> Step 3: Select account and month -> Step 4: Click Request E-Statement -> Step 5: Verify e-statement sent to registered email -> Step 6: Open email and validate PDF attachment content,Statements,Statements Wise,"Transaction filters (credit/debit/all, date range) should return accurate results matching the selected criteria",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0951,Interest calculation incorrect for savings #950,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0952,Duplicate transaction in statement #951,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,Cash deposit at ATM should be counted accurately and credited to the account with a printed deposit receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0953,Duplicate transaction in statement #952,Step 1: Login to banking app -> Step 2: Go to Credit Cards > Manage Card -> Step 3: Select card to modify -> Step 4: Click Set/Update Transaction Limit -> Step 5: Enter new domestic and international limits -> Step 6: Authenticate via OTP -> Step 7: Verify limit update confirmation,Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0954,Funds transfer not updating balance #953,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0955,Funds transfer not updating balance #954,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,MFA/OTP should be delivered within 30 seconds and should be valid for the configured expiry duration,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0956,ATM withdrawal receipt missing #955,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,ATM PIN change should be processed successfully and the new PIN should work immediately for subsequent transactions,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0957,Login fails with valid credentials #956,Step 1: Login to the banking portal -> Step 2: Navigate to Bill Payments section -> Step 3: Select biller category (Electricity/Water/Gas/Telecom) -> Step 4: Choose biller name from list -> Step 5: Enter consumer/account number -> Step 6: Fetch bill amount -> Step 7: Verify bill details displayed -> Step 8: Select payment account -> Step 9: Click Pay Now -> Step 10: Verify payment confirmation and transaction reference,Bill Payments,Bill Payments Wise,Scheduled bill payment should be set up successfully and should execute automatically on the configured dates,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0958,Duplicate transaction in statement #957,Step 1: Login to net banking -> Step 2: Go to Statements > E-Statement -> Step 3: Select account and month -> Step 4: Click Request E-Statement -> Step 5: Verify e-statement sent to registered email -> Step 6: Open email and validate PDF attachment content,Statements,Statements Wise,"Transaction filters (credit/debit/all, date range) should return accurate results matching the selected criteria",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0959,Funds transfer not updating balance #958,Step 1: Login to net banking -> Step 2: Go to Loans > My Loans -> Step 3: Select active loan account -> Step 4: Click View EMI Schedule -> Step 5: Verify EMI breakdown with principal and interest components -> Step 6: Check prepayment/foreclosure options are available,Loans,Loans Wise,"Loan calculator should compute and display accurate monthly EMI, total interest payable, and total amount payable based on input parameters",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0960,Interest calculation incorrect for savings #959,Step 1: Login to net banking -> Step 2: Go to Notifications > Notification History -> Step 3: Filter by date range and type -> Step 4: Verify list of past notifications displayed -> Step 5: Click on a notification to view full details -> Step 6: Check mark as read/unread functionality,Notifications,Notifications Wise,Alert threshold settings should be applied immediately and should trigger alerts only for transactions meeting the criteria,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0961,Interest calculation incorrect for savings #960,Step 1: Open the banking application login page -> Step 2: Enter valid username and password -> Step 3: Click the Login button -> Step 4: Verify MFA/OTP prompt is displayed -> Step 5: Enter OTP and submit -> Step 6: Verify dashboard is loaded successfully,Authentication,Authentication Wise,User should be authenticated successfully and redirected to the dashboard after entering valid credentials and OTP,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0962,Interest calculation incorrect for savings #961,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,Alert threshold settings should be applied immediately and should trigger alerts only for transactions meeting the criteria,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0963,Interest calculation incorrect for savings #962,"Step 1: Login to banking app -> Step 2: Navigate to Bill Payments > Payment History -> Step 3: Select biller -> Step 4: Choose date range -> Step 5: Verify past payment records with date, amount, and status -> Step 6: Click on a transaction to view receipt details",Bill Payments,Bill Payments Wise,Bill payment should fail gracefully with a clear error message if the account has insufficient funds,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0964,ATM withdrawal receipt missing #963,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0965,Interest calculation incorrect for savings #964,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,Notification read/unread status should be updated correctly when user interacts with the notification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0966,Duplicate transaction in statement #965,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,"Account statement should list all transactions within the selected date range with correct date, description, debit, credit, and running balance",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0967,Interest calculation incorrect for savings #966,Step 1: Insert debit card into ATM machine -> Step 2: Select preferred language -> Step 3: Enter 4-digit ATM PIN -> Step 4: Select Cash Withdrawal from menu -> Step 5: Choose account type (Savings/Current) -> Step 6: Enter withdrawal amount -> Step 7: Confirm the transaction -> Step 8: Collect cash and receipt -> Step 9: Verify correct amount dispensed and receipt printed,ATM Services,ATM Services Wise,ATM should display an appropriate error message and return the card if an incorrect PIN is entered 3 times consecutively,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0968,Login fails with valid credentials #967,Step 1: Login to net banking -> Step 2: Go to Loans > My Loans -> Step 3: Select active loan account -> Step 4: Click View EMI Schedule -> Step 5: Verify EMI breakdown with principal and interest components -> Step 6: Check prepayment/foreclosure options are available,Loans,Loans Wise,Loan prepayment/foreclosure option should be available with correct penalty calculation and updated outstanding balance,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0969,Interest calculation incorrect for savings #968,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0970,ATM withdrawal receipt missing #969,Step 1: Login to the banking portal -> Step 2: Navigate to Funds Transfer section -> Step 3: Select source account from dropdown -> Step 4: Enter beneficiary account number and IFSC code -> Step 5: Enter transfer amount and remarks -> Step 6: Review transfer details on confirmation page -> Step 7: Click Confirm Transfer -> Step 8: Verify transaction success message and reference number,Funds Transfer,Funds Transfer Wise,NEFT/RTGS transfer should be processed within the defined settlement window and beneficiary should receive funds accordingly,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0971,Login fails with valid credentials #970,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0972,Funds transfer not updating balance #971,"Step 1: Login to the banking portal -> Step 2: Navigate to Statements section -> Step 3: Select account number from dropdown -> Step 4: Choose statement period (From Date - To Date) -> Step 5: Click Generate Statement -> Step 6: Verify transactions listed with date, description, debit, credit, and balance columns -> Step 7: Click Download as PDF/CSV",Statements,Statements Wise,E-statement should be delivered to the registered email address within 5 minutes with a valid PDF attachment,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0973,ATM withdrawal receipt missing #972,Step 1: Login to the banking portal -> Step 2: Navigate to Bill Payments section -> Step 3: Select biller category (Electricity/Water/Gas/Telecom) -> Step 4: Choose biller name from list -> Step 5: Enter consumer/account number -> Step 6: Fetch bill amount -> Step 7: Verify bill details displayed -> Step 8: Select payment account -> Step 9: Click Pay Now -> Step 10: Verify payment confirmation and transaction reference,Bill Payments,Bill Payments Wise,Scheduled bill payment should be set up successfully and should execute automatically on the configured dates,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0974,Interest calculation incorrect for savings #973,Step 1: Login to banking portal -> Step 2: Navigate to Statements -> Step 3: Select account -> Step 4: Apply filter by transaction type (Credit/Debit/All) -> Step 5: Set date range -> Step 6: Click Search -> Step 7: Verify filtered results match criteria -> Step 8: Check pagination for large datasets,Statements,Statements Wise,E-statement should be delivered to the registered email address within 5 minutes with a valid PDF attachment,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0975,Duplicate transaction in statement #974,"Step 1: Login to mobile banking app -> Step 2: Go to Settings > Push Notifications -> Step 3: Toggle ON/OFF for different categories (Transactions, Offers, Security) -> Step 4: Save settings -> Step 5: Trigger a relevant event -> Step 6: Verify push notification received/not received based on settings",Notifications,Notifications Wise,"Notification history should display all past alerts with correct date, type, and message content",System failed to perform as expected,Operation must meet functional and business requirements
BUG-0976,Funds transfer not updating balance #975,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Account closure request should be processed with final balance settlement details and a closure confirmation receipt,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0977,Funds transfer not updating balance #976,Step 1: Login to the banking portal -> Step 2: Navigate to Notifications/Alerts section -> Step 3: Click Manage Alerts -> Step 4: Enable transaction alerts for debit above threshold -> Step 5: Set threshold amount -> Step 6: Choose notification channel (SMS/Email/Push) -> Step 7: Save preferences -> Step 8: Perform a transaction above threshold -> Step 9: Verify alert received on selected channel,Notifications,Notifications Wise,Transaction alert should be received on the selected channel (SMS/Email/Push) within 60 seconds of the transaction exceeding the threshold,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0978,Interest calculation incorrect for savings #977,Step 1: Login to the banking portal -> Step 2: Navigate to Funds Transfer section -> Step 3: Select source account from dropdown -> Step 4: Enter beneficiary account number and IFSC code -> Step 5: Enter transfer amount and remarks -> Step 6: Review transfer details on confirmation page -> Step 7: Click Confirm Transfer -> Step 8: Verify transaction success message and reference number,Funds Transfer,Funds Transfer Wise,Funds should be debited from source account and credited to beneficiary account with correct amounts reflected in both balances,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0979,Duplicate transaction in statement #978,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,Nominee details should be updated successfully and reflected in the account summary after approval,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0980,Login fails with valid credentials #979,Step 1: Login to net banking -> Step 2: Go to Credit Cards > Apply -> Step 3: Choose credit card type -> Step 4: Fill in employment and income details -> Step 5: Upload KYC documents -> Step 6: Accept terms and conditions -> Step 7: Submit application -> Step 8: Verify application tracking ID is generated,Credit Cards,Credit Cards Wise,Transaction limits (domestic and international) should be updated successfully after OTP verification,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0981,ATM withdrawal receipt missing #980,Step 1: Open login page -> Step 2: Enter credentials and login -> Step 3: Remain idle for session timeout duration -> Step 4: Attempt any action after timeout -> Step 5: Verify session expiry message is shown -> Step 6: Confirm redirect to login page,Authentication,Authentication Wise,Invalid login attempts should be blocked after the maximum retry limit and account should be temporarily locked,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0982,Funds transfer not updating balance #981,Step 1: Login to net banking -> Step 2: Go to Statements > E-Statement -> Step 3: Select account and month -> Step 4: Click Request E-Statement -> Step 5: Verify e-statement sent to registered email -> Step 6: Open email and validate PDF attachment content,Statements,Statements Wise,Paginated statement view should load correctly for large datasets with consistent data across all pages,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0983,Interest calculation incorrect for savings #982,"Step 1: Login to the banking portal -> Step 2: Navigate to Credit Cards section -> Step 3: Select active credit card -> Step 4: Click View Statement -> Step 5: Verify current billing cycle transactions are displayed -> Step 6: Check total outstanding, minimum due, and payment due date",Credit Cards,Credit Cards Wise,Credit card application should be submitted successfully and a tracking ID should be generated for status monitoring,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0984,Funds transfer not updating balance #983,Step 1: Login to banking app -> Step 2: Navigate to Funds Transfer -> Step 3: Select IMPS as transfer mode -> Step 4: Enter beneficiary mobile number and MMID -> Step 5: Enter amount -> Step 6: Authenticate with MPIN -> Step 7: Verify instant confirmation and SMS notification,Funds Transfer,Funds Transfer Wise,Transaction reference number should be generated and displayed upon successful transfer along with SMS/email confirmation,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0985,Duplicate transaction in statement #984,Step 1: Login to banking portal -> Step 2: Navigate to Statements -> Step 3: Select account -> Step 4: Apply filter by transaction type (Credit/Debit/All) -> Step 5: Set date range -> Step 6: Click Search -> Step 7: Verify filtered results match criteria -> Step 8: Check pagination for large datasets,Statements,Statements Wise,Paginated statement view should load correctly for large datasets with consistent data across all pages,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0986,Interest calculation incorrect for savings #985,Step 1: Login to net banking -> Step 2: Go to Account Management > Profile Settings -> Step 3: Click Update Address -> Step 4: Enter new address details -> Step 5: Upload address proof document -> Step 6: Submit update request -> Step 7: Verify address update pending approval message,Account Management,Account Management Wise,New account opening request should be submitted successfully with all documents and a confirmation reference number should be generated,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0987,Funds transfer not updating balance #986,Step 1: Login to banking portal -> Step 2: Navigate to Account Management > Linked Accounts -> Step 3: Click Link New Account -> Step 4: Enter account number and verify ownership via OTP -> Step 5: Verify linked account appears in dashboard -> Step 6: Test switching between linked accounts,Account Management,Account Management Wise,Nominee details should be updated successfully and reflected in the account summary after approval,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0988,Interest calculation incorrect for savings #987,Step 1: Navigate to Forgot Password page -> Step 2: Enter registered email/phone -> Step 3: Click Send Reset Link -> Step 4: Open reset link from email -> Step 5: Enter new password and confirm -> Step 6: Verify password reset success message,Authentication,Authentication Wise,User should be authenticated successfully and redirected to the dashboard after entering valid credentials and OTP,System failed to perform as expected,Operation must meet functional and business requirements
BUG-0989,Funds transfer not updating balance #988,Step 1: Login to net banking -> Step 2: Go to Funds Transfer > NEFT/RTGS -> Step 3: Choose registered beneficiary -> Step 4: Enter amount exceeding daily limit -> Step 5: Click Submit -> Step 6: Verify daily limit exceeded error is displayed,Funds Transfer,Funds Transfer Wise,Funds should be debited from source account and credited to beneficiary account with correct amounts reflected in both balances,System failed to perform as expected,Operation must meet functional and business requirements
